latitude,longitude,bright_ti4,acq_date,acq_time,satellite,instrument,confidence,version,frp,daynight
40.62244,-122.40832,343.7,2026-08-18,1012,N,VIIRS,n,2.0NRT,7.6,N
40.626,-122.39248,335.1,2026-08-18,0942,N,VIIRS,n,2.0NRT,10.7,N
40.60439,-122.41042,333.0,2026-08-18,0812,N,VIIRS,n,2.0NRT,19.8,N
40.62102,-122.40253,340.7,2026-08-18,1012,N,VIIRS,n,2.0NRT,6.6,N
40.61987,-122.40682,344.1,2026-08-18,1002,N,VIIRS,n,2.0NRT,21.4,N
40.62704,-122.39378,331.3,2026-08-18,0842,N,VIIRS,n,2.0NRT,14.5,N
40.62053,-122.39098,338.3,2026-08-18,0802,N,VIIRS,n,2.0NRT,7.9,N
40.62374,-122.40687,329.9,2026-08-18,0842,N,VIIRS,n,2.0NRT,5.5,N
40.62295,-122.40767,344.3,2026-08-18,1012,N,VIIRS,n,2.0NRT,13.2,N
40.62703,-122.4004,345.1,2026-08-18,0822,N,VIIRS,n,2.0NRT,8.8,N
40.61852,-122.40545,334.5,2026-08-18,1012,N,VIIRS,n,2.0NRT,3.5,N
40.62978,-122.40124,337.4,2026-08-18,0942,N,VIIRS,n,2.0NRT,13.0,N
40.61657,-122.40282,342.7,2026-08-18,0812,N,VIIRS,n,2.0NRT,18.3,N
40.62426,-122.39708,332.8,2026-08-18,1022,N,VIIRS,n,2.0NRT,8.7,N
40.6233,-122.39655,342.9,2026-08-18,0942,N,VIIRS,n,2.0NRT,7.9,N
40.63713,-122.40325,337.5,2026-08-18,1032,N,VIIRS,n,2.0NRT,18.8,N
35.42,-119.05,329.9,2026-08-18,1002,N,VIIRS,n,2.0NRT,4.0,N
35.423,-119.05,332.1,2026-08-18,0952,N,VIIRS,n,2.0NRT,4.0,N
35.417,-119.05,342.4,2026-08-18,0942,N,VIIRS,n,2.0NRT,4.0,N
40.62614,-122.38275,337.0,2026-08-19,1012,N,VIIRS,n,2.0NRT,12.9,N
40.62637,-122.38848,352.8,2026-08-19,0842,N,VIIRS,n,2.0NRT,4.9,N
40.62048,-122.3981,345.6,2026-08-19,0912,N,VIIRS,n,2.0NRT,21.0,N
40.62031,-122.39946,336.1,2026-08-19,0802,N,VIIRS,n,2.0NRT,10.3,N
40.63857,-122.41362,332.3,2026-08-19,0852,N,VIIRS,n,2.0NRT,8.0,N
40.63443,-122.39358,339.3,2026-08-19,0832,N,VIIRS,n,2.0NRT,32.5,N
40.62394,-122.41075,337.5,2026-08-19,0922,N,VIIRS,n,2.0NRT,27.9,N
40.63074,-122.4014,341.1,2026-08-19,0852,N,VIIRS,n,2.0NRT,16.0,N
40.63237,-122.39578,350.3,2026-08-19,1002,N,VIIRS,n,2.0NRT,3.2,N
40.64634,-122.39844,333.4,2026-08-19,0812,N,VIIRS,n,2.0NRT,8.5,N
40.61956,-122.39417,340.0,2026-08-19,0902,N,VIIRS,n,2.0NRT,18.5,N
40.63224,-122.38214,340.5,2026-08-19,0842,N,VIIRS,n,2.0NRT,15.0,N
40.63852,-122.39236,334.9,2026-08-19,1032,N,VIIRS,n,2.0NRT,1.2,N
40.64493,-122.40813,345.5,2026-08-19,0842,N,VIIRS,n,2.0NRT,5.4,N
40.62347,-122.40545,342.9,2026-08-19,0822,N,VIIRS,n,2.0NRT,11.9,N
40.62602,-122.41004,343.2,2026-08-19,0852,N,VIIRS,n,2.0NRT,8.9,N
40.63648,-122.39827,338.7,2026-08-19,0932,N,VIIRS,n,2.0NRT,10.3,N
40.615,-122.40636,340.5,2026-08-19,1022,N,VIIRS,n,2.0NRT,13.3,N
40.6332,-122.38745,334.9,2026-08-19,1042,N,VIIRS,n,2.0NRT,52.4,N
40.65037,-122.36628,341.9,2026-08-19,0902,N,VIIRS,n,2.0NRT,2.8,N
40.63423,-122.40609,327.1,2026-08-19,0932,N,VIIRS,n,2.0NRT,6.2,N
40.60825,-122.39327,353.3,2026-08-19,0822,N,VIIRS,n,2.0NRT,4.5,N
40.62171,-122.40024,329.5,2026-08-19,0822,N,VIIRS,n,2.0NRT,5.4,N
